"YEAR","POWER_HANGYE","POWER_QUYU","SUM(*)"
2019.0,"教育","盐田区",2.0
2019.0,"民政","盐田区",2.0
2019.0,"民宗","盐田区",8.0
2019.0,"人社","盐田区",1.0
2019.0,"生态","盐田区",25.0
2019.0,"水务","盐田区",79.0
2019.0,"司法","盐田区",1.0
2019.0,"卫生","盐田区",2.0
2019.0,"文体","盐田区",162.0
2019.0,"应急","盐田区",8.0
2019.0,"住建","盐田区",26.0
2019.0,,"盐田区",1.0
2019.0,"财政",,1.0
2019.0,"城管",,33.0
2019.0,"公安",,24.0
2019.0,"规自",,147.0
2019.0,"交通",,42.0
2019.0,"教育",,7.0
2019.0,"金融",,2.0
2019.0,"民政",,2.0
2019.0,"人社",,1.0
2019.0,"审计",,1.0
2019.0,"生态",,26.0
2019.0,"市监",,1.0
2019.0,"司法",,3.0
2019.0,"卫生",,2.0
2019.0,"文体",,1.0
2019.0,"应急",,8.0
2019.0,"住建",,14.0
