"YEAR","POWER_HANGYE","POWER_QUYU","POWER_TYPE","SUM(*)"
2017.0,"财政","坪山区","行政处罚",25.0
2017.0,"城管","坪山区","行政处罚",115.0
2017.0,"档案","坪山区","行政处罚",0.0
2017.0,"公安","坪山区","行政处罚",416.0
2017.0,"规自","坪山区","行政处罚",321.0
2017.0,"交通","坪山区","行政处罚",3.0
2017.0,"教育","坪山区","行政处罚",2.0
2017.0,"民政","坪山区","行政处罚",42.0
2017.0,"民宗","坪山区","行政处罚",10.0
2017.0,"人社","坪山区","行政处罚",1.0
2017.0,"商务","坪山区","行政处罚",0.0
2017.0,"审计","坪山区","行政处罚",0.0
2017.0,"生态","坪山区","行政处罚",170.0
2017.0,"水务","坪山区","行政处罚",442.0
2017.0,"司法","坪山区","行政处罚",8.0
2017.0,"统计","坪山区","行政处罚",15.0
2017.0,"退役","坪山区","行政处罚",1.0
2017.0,"卫生","坪山区","行政处罚",326.0
2017.0,"文体","坪山区","行政处罚",1.0
2017.0,"应急","坪山区","行政处罚",169.0
2017.0,"住建","坪山区","行政处罚",352.0
2017.0,,"坪山区","行政处罚",2.0
2017.0,"保密","盐田区","行政处罚",0.0
2017.0,"财政","盐田区","行政处罚",24.0
2017.0,"城管","盐田区","行政处罚",310.0
2017.0,"档案","盐田区","行政处罚",2.0
2017.0,"防空","盐田区","行政处罚",14.0
2017.0,"公安","盐田区","行政处罚",416.0
2017.0,"规自","盐田区","行政处罚",312.0
2017.0,"交通","盐田区","行政处罚",1.0
2017.0,"教育","盐田区","行政处罚",2.0
2017.0,"民政","盐田区","行政处罚",2.0
2017.0,"民宗","盐田区","行政处罚",5.0
2017.0,"人社","盐田区","行政处罚",119.0
2017.0,"审计","盐田区","行政处罚",0.0
2017.0,"生态","盐田区","行政处罚",170.0
2017.0,"水务","盐田区","行政处罚",767.0
2017.0,"司法","盐田区","行政处罚",4.0
2017.0,"统计","盐田区","行政处罚",12.0
2017.0,"退役","盐田区","行政处罚",2.0
2017.0,"卫生","盐田区","行政处罚",590.0
2017.0,"文体","盐田区","行政处罚",200.0
2017.0,"应急","盐田区","行政处罚",299.0
2017.0,"住建","盐田区","行政处罚",209.0
2017.0,,"盐田区","行政处罚",55.0
2017.0,"财政",,"行政处罚",0.0
2017.0,"城管",,"行政处罚",133.0
2017.0,"档案",,"行政处罚",2.0
2017.0,"发改",,"行政处罚",0.0
2017.0,"工信",,"行政处罚",15.0
2017.0,"公安",,"行政处罚",416.0
2017.0,"规自",,"行政处罚",456.0
2017.0,"交通",,"行政处罚",750.0
2017.0,"教育",,"行政处罚",17.0
2017.0,"金融",,"行政处罚",8.0
2017.0,"科创",,"行政处罚",9.0
2017.0,"民政",,"行政处罚",40.0
2017.0,"民宗",,"行政处罚",5.0
2017.0,"气象",,"行政处罚",24.0
2017.0,"人社",,"行政处罚",20.0
2017.0,"审计",,"行政处罚",17.0
2017.0,"生态",,"行政处罚",186.0
2017.0,"市监",,"行政处罚",0.0
2017.0,"水务",,"行政处罚",462.0
2017.0,"司法",,"行政处罚",15.0
2017.0,"卫生",,"行政处罚",305.0
2017.0,"文体",,"行政处罚",1.0
2017.0,"应急",,"行政处罚",169.0
2017.0,"住建",,"行政处罚",60.0
2017.0,,,"行政处罚",23.0
2018.0,"财政","宝安区","行政处罚",0.0
2018.0,"城管","宝安区","行政处罚",441.0
2018.0,"档案","宝安区","行政处罚",7.0
2018.0,"公安","宝安区","行政处罚",567.0
2018.0,"规自","宝安区","行政处罚",338.0
2018.0,"交通","宝安区","行政处罚",3.0
2018.0,"教育","宝安区","行政处罚",39.0
2018.0,"民政","宝安区","行政处罚",40.0
2018.0,"民宗","宝安区","行政处罚",28.0
2018.0,"人社","宝安区","行政处罚",125.0
2018.0,"审计","宝安区","行政处罚",17.0
2018.0,"生态","宝安区","行政处罚",270.0
2018.0,"水务","宝安区","行政处罚",446.0
2018.0,"司法","宝安区","行政处罚",1.0
2018.0,"统计","宝安区","行政处罚",15.0
2018.0,"退役","宝安区","行政处罚",2.0
2018.0,"卫生","宝安区","行政处罚",573.0
2018.0,"文体","宝安区","行政处罚",3.0
2018.0,"应急","宝安区","行政处罚",382.0
2018.0,"住建","宝安区","行政处罚",236.0
2018.0,,"宝安区","行政处罚",6.0
2018.0,"财政","大鹏新区","行政处罚",32.0
2018.0,"城管","大鹏新区","行政处罚",213.0
2018.0,"档案","大鹏新区","行政处罚",0.0
2018.0,"公安","大鹏新区","行政处罚",416.0
2018.0,"规自","大鹏新区","行政处罚",333.0
2018.0,"交通","大鹏新区","行政处罚",1.0
2018.0,"教育","大鹏新区","行政处罚",42.0
2018.0,"民政","大鹏新区","行政处罚",12.0
2018.0,"民宗","大鹏新区","行政处罚",56.0
