"YEAR","PUNISH_HANGYE","PUNISH_QUYU","USED","POWER_TYPE","ALL","RATIO","SLEEP"
2019.0,"应急","罗湖区",1,"行政处罚",456.0,0.0021929824561403508,455.0
2019.0,"应急","龙华区",1,"行政处罚",433.0,0.0023094688221709007,432.0
2019.0,"应急","龙岗区",1,"行政处罚",350.0,0.002857142857142857,349.0
2019.0,"文体","光明区",6,"行政处罚",860.0,0.0069767441860465115,854.0
2019.0,"文体","南山区",8,"行政处罚",846.0,0.009456264775413711,838.0
2019.0,"文体","坪山区",2,"行政处罚",856.0,0.002336448598130841,854.0
2019.0,"文体","大鹏新区",3,"行政处罚",853.0,0.0035169988276670576,850.0
2019.0,"文体","宝安区",12,"行政处罚",725.0,0.016551724137931035,713.0
2019.0,"文体","福田区",15,"行政处罚",649.0,0.023112480739599383,634.0
2019.0,"文体","罗湖区",17,"行政处罚",860.0,0.019767441860465116,843.0
2019.0,"文体","龙华区",2,"行政处罚",864.0,0.0023148148148148147,862.0
2019.0,"文体","龙岗区",1,"行政处罚",849.0,0.001177856301531213,848.0
2019.0,"水务","光明区",6,"行政处罚",706.0,0.0084985835694051,700.0
2019.0,"水务","南山区",4,"行政处罚",836.0,0.004784688995215311,832.0
2019.0,"水务","坪山区",6,"行政处罚",901.0,0.006659267480577136,895.0
2019.0,"水务","大鹏新区",1,"行政处罚",841.0,0.0011890606420927466,840.0
2019.0,"水务","宝安区",6,"行政处罚",898.0,0.0066815144766146995,892.0
2019.0,"水务","盐田区",5,"行政处罚",782.0,0.00639386189258312,777.0
2019.0,"水务","福田区",1,"行政处罚",455.0,0.002197802197802198,454.0
2019.0,"水务","罗湖区",6,"行政处罚",896.0,0.006696428571428571,890.0
2019.0,"水务","龙岗区",9,"行政处罚",910.0,0.00989010989010989,901.0
2019.0,"生态","福田区",1,"行政处罚",298.0,0.003355704697986577,297.0
2019.0,"生态","龙岗区",2,"行政处罚",298.0,0.006711409395973154,296.0
2019.0,"统计","光明区",1,"行政处罚",15.0,0.06666666666666667,14.0
2019.0,"统计","南山区",1,"行政处罚",15.0,0.06666666666666667,14.0
2019.0,"统计","坪山区",1,"行政处罚",15.0,0.06666666666666667,14.0
2019.0,"统计","大鹏新区",1,"行政处罚",5.0,0.2,4.0
2019.0,"统计","龙华区",1,"行政处罚",15.0,0.06666666666666667,14.0
2019.0,"规自","光明区",1,"行政处罚",318.0,0.0031446540880503146,317.0
2019.0,"规自","南山区",4,"行政处罚",358.0,0.0111731843575419,354.0
2019.0,"规自","坪山区",3,"行政处罚",324.0,0.009259259259259259,321.0
2019.0,"规自","宝安区",3,"行政处罚",338.0,0.008875739644970414,335.0
2019.0,"规自","盐田区",2,"行政处罚",315.0,0.006349206349206349,313.0
2019.0,"规自","福田区",3,"行政处罚",335.0,0.008955223880597015,332.0
2019.0,"规自","罗湖区",1,"行政处罚",342.0,0.0029239766081871343,341.0
2019.0,"规自","龙华区",3,"行政处罚",331.0,0.00906344410876133,328.0
2019.0,"规自","龙岗区",4,"行政处罚",320.0,0.0125,316.0
2019.0,"财政","龙华区",1,"行政处罚",23.0,0.043478260869565216,22.0
2019.0,"财政","龙岗区",1,"行政处罚",25.0,0.04,24.0
2016.0,"市监","光明区",1,,,,
2016.0,"市监","坪山区",1,,,,
2016.0,"市监","大鹏新区",1,,,,
2016.0,"市监","宝安区",1,,,,
2016.0,"市监","盐田区",1,,,,
2016.0,"市监","福田区",1,,,,
2016.0,"市监","罗湖区",1,,,,
2016.0,"市监","龙华区",1,,,,
2016.0,"市监","龙岗区",1,,,,
2017.0,"市监","光明区",1,,,,
2017.0,"市监","坪山区",1,,,,
2017.0,"市监","大鹏新区",1,,,,
2017.0,"市监","宝安区",1,,,,
2017.0,"市监","盐田区",1,,,,
2017.0,"市监","福田区",1,,,,
2017.0,"市监","罗湖区",1,,,,
2017.0,"市监","龙华区",1,,,,
2017.0,"市监","龙岗区",1,,,,
2018.0,"市监","光明区",1,,,,
2018.0,"市监","坪山区",1,,,,
2018.0,"市监","大鹏新区",1,,,,
2018.0,"市监","宝安区",1,,,,
2018.0,"市监","盐田区",1,,,,
2018.0,"市监","福田区",1,,,,
2018.0,"市监","罗湖区",1,,,,
2018.0,"市监","龙华区",1,,,,
2018.0,"市监","龙岗区",1,,,,
2019.0,"市监","光明区",1,,,,
2019.0,"市监","坪山区",1,,,,
2019.0,"市监","大鹏新区",1,,,,
2019.0,"市监","宝安区",1,,,,
2019.0,"市监","盐田区",1,,,,
2019.0,"市监","福田区",1,,,,
2019.0,"市监","罗湖区",1,,,,
2019.0,"市监","龙华区",1,,,,
2019.0,"市监","龙岗区",1,,,,
