"YEAR","PEO_ENFORCE_HANGYE","ALL(SHIJI)","ALL(SHENGJI)","ALL(BUJI)","CODE_ALL","SUM(SHIJI)","SUM(SHENGJI)","SUM(BUJI)","SUM(SHI_SHENG)","SUM(SHI_BU)","SUM(SHENG_BU)"
2018.0,"文体",136.0,0.0,0.0,1.0,136.0,0.0,0.0,0.0,0.0,0.0
2019.0,"文体",141.0,0.0,0.0,1.0,141.0,0.0,0.0,0.0,0.0,0.0
2016.0,"烟草",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"烟草",4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2018.0,"烟草",4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2019.0,"烟草",4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2016.0,"医疗",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"医疗",26.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0
2018.0,"医疗",48.0,0.0,0.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0
2019.0,"医疗",125.0,0.0,0.0,1.0,125.0,0.0,0.0,0.0,0.0,0.0
2016.0,"应急",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"应急",1003.0,0.0,0.0,1.0,1003.0,0.0,0.0,0.0,0.0,0.0
2018.0,"应急",1765.0,0.0,0.0,1.0,1765.0,0.0,0.0,0.0,0.0,0.0
2019.0,"应急",1909.0,0.0,0.0,1.0,1909.0,0.0,0.0,0.0,0.0,0.0
2016.0,"住建",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"住建",502.0,0.0,0.0,1.0,502.0,0.0,0.0,0.0,0.0,0.0
2018.0,"住建",712.0,0.0,0.0,1.0,712.0,0.0,0.0,0.0,0.0,0.0
2019.0,"住建",857.0,0.0,0.0,1.0,857.0,0.0,0.0,0.0,0.0,0.0
,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0
,,,,,1.0,9.0,0.0,0.0,0.0,0.0,0.0
,,,,,1.0,20.0,0.0,0.0,0.0,0.0,0.0
,,,,,1.0,25.0,0.0,0.0,0.0,0.0,0.0
