"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ALL(SHIJI)","ALL(SHENGJI)","ALL(BUJI)","CODE_ALL","SUM(SHIJI)","SUM(SHENGJI)","SUM(BUJI)","SUM(SHI_SHENG)","SUM(SHI_BU)","SUM(SHENG_BU)"
2017.0,"工信","龙华区",12.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0
2018.0,"工信","龙华区",24.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0
2019.0,"工信","龙华区",24.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0
2016.0,"工信","南山区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"工信","南山区",7.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
2018.0,"工信","南山区",9.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
2019.0,"工信","南山区",9.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
2016.0,"工信","市级",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"工信","市级",9.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
2018.0,"工信","市级",25.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0
2019.0,"工信","市级",33.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0
2016.0,"规自","宝安区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"规自","宝安区",98.0,0.0,0.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0
2018.0,"规自","宝安区",122.0,0.0,0.0,1.0,122.0,0.0,0.0,0.0,0.0,0.0
2019.0,"规自","宝安区",138.0,0.0,0.0,1.0,138.0,0.0,0.0,0.0,0.0,0.0
2016.0,"规自","大鹏新区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"规自","大鹏新区",20.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0
2018.0,"规自","大鹏新区",54.0,0.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0
2019.0,"规自","大鹏新区",55.0,0.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0
2016.0,"规自","福田区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"规自","福田区",70.0,0.0,0.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0
2018.0,"规自","福田区",79.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,0.0,0.0
2019.0,"规自","福田区",84.0,0.0,0.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0
2016.0,"规自","光明区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"规自","光明区",53.0,0.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0
2018.0,"规自","光明区",60.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0
2019.0,"规自","光明区",60.0,0.0,0.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0
2016.0,"规自","龙岗区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"规自","龙岗区",40.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0
2018.0,"规自","龙岗区",49.0,0.0,0.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0
2019.0,"规自","龙岗区",51.0,0.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0
2016.0,"规自","龙华区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"规自","龙华区",61.0,0.0,0.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0
2018.0,"规自","龙华区",84.0,0.0,0.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0
2019.0,"规自","龙华区",87.0,0.0,0.0,1.0,87.0,0.0,0.0,0.0,0.0,0.0
2016.0,"规自","罗湖区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"规自","罗湖区",22.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0
2018.0,"规自","罗湖区",65.0,0.0,0.0,1.0,65.0,0.0,0.0,0.0,0.0,0.0
2019.0,"规自","罗湖区",66.0,0.0,0.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0
2016.0,"规自","南山区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"规自","南山区",57.0,0.0,0.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0
2018.0,"规自","南山区",66.0,0.0,0.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0
2019.0,"规自","南山区",75.0,0.0,0.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0
2016.0,"规自","坪山区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"规自","坪山区",57.0,0.0,0.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0
2018.0,"规自","坪山区",62.0,0.0,0.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0
2019.0,"规自","坪山区",74.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,0.0
2016.0,"规自","市级",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"规自","市级",57.0,0.0,0.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0
2018.0,"规自","市级",69.0,0.0,0.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0
2019.0,"规自","市级",75.0,0.0,0.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0
2016.0,"规自","盐田区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"规自","盐田区",27.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0
2018.0,"规自","盐田区",35.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0
2019.0,"规自","盐田区",36.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0
2016.0,"交通","市级",67.0,0.0,0.0,1.0,67.0,0.0,0.0,0.0,0.0,0.0
2017.0,"交通","市级",381.0,0.0,0.0,1.0,381.0,0.0,0.0,0.0,0.0,0.0
2018.0,"交通","市级",560.0,0.0,0.0,1.0,560.0,0.0,0.0,0.0,0.0,0.0
2019.0,"交通","市级",756.0,0.0,0.0,1.0,756.0,0.0,0.0,0.0,0.0,0.0
2016.0,"教育","宝安区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"教育","宝安区",3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2018.0,"教育","宝安区",16.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0
2019.0,"教育","宝安区",29.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0
2016.0,"教育","福田区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"教育","福田区",23.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0
2018.0,"教育","福田区",27.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0
2019.0,"教育","福田区",27.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0
2016.0,"教育","光明区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"教育","光明区",4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2018.0,"教育","光明区",5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
2019.0,"教育","光明区",5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
2016.0,"教育","龙岗区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"教育","龙岗区",47.0,0.0,0.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0
2018.0,"教育","龙岗区",54.0,0.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0
2019.0,"教育","龙岗区",54.0,0.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0
2016.0,"教育","龙华区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"教育","龙华区",6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
2018.0,"教育","龙华区",8.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
2019.0,"教育","龙华区",8.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
2016.0,"教育","罗湖区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"教育","罗湖区",9.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
2018.0,"教育","罗湖区",9.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
2019.0,"教育","罗湖区",11.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0
2016.0,"教育","南山区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"教育","南山区",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2018.0,"教育","南山区",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2019.0,"教育","南山区",6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
2016.0,"教育","坪山区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"教育","坪山区",4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2018.0,"教育","坪山区",5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
2019.0,"教育","坪山区",8.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
2016.0,"教育","市级",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"教育","市级",25.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0
2018.0,"教育","市级",35.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0
2019.0,"教育","市级",36.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0
2016.0,"金融","市级",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
