"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ENFORCEPEO_STAFFTYPE","SUM(*)"
2018.0,"水务","龙岗区","公务员",26.0
2018.0,"水务","龙华区","公务员",12.0
2018.0,"水务","罗湖区","公务员",3.0
2018.0,"水务","南山区","公务员",10.0
2018.0,"水务","坪山区","公务员",5.0
2018.0,"水务","盐田区","公务员",10.0
2018.0,"司法","宝安区","公务员",6.0
2018.0,"司法","大鹏新区","公务员",3.0
2018.0,"司法","福田区","公务员",10.0
2018.0,"司法","龙岗区","公务员",3.0
2018.0,"司法","龙华区","公务员",1.0
2018.0,"司法","罗湖区","公务员",8.0
2018.0,"司法","南山区","公务员",7.0
2018.0,"司法","坪山区","公务员",0.0
2018.0,"司法","盐田区","公务员",4.0
2018.0,"统计","宝安区","公务员",6.0
2018.0,"统计","福田区","公务员",7.0
2018.0,"统计","龙岗区","公务员",1.0
2018.0,"统计","龙华区","公务员",3.0
2018.0,"统计","罗湖区","公务员",9.0
2018.0,"统计","南山区","公务员",8.0
2018.0,"统计","坪山区","公务员",0.0
2018.0,"统计","盐田区","公务员",4.0
2018.0,"退役","罗湖区","公务员",1.0
2018.0,"卫生","宝安区","公务员",59.0
2018.0,"卫生","大鹏新区","公务员",6.0
2018.0,"卫生","福田区","公务员",62.0
2018.0,"卫生","龙岗区","公务员",56.0
2018.0,"卫生","龙华区","公务员",6.0
2018.0,"卫生","罗湖区","公务员",35.0
2018.0,"卫生","南山区","公务员",37.0
2018.0,"卫生","坪山区","公务员",9.0
2018.0,"卫生","盐田区","公务员",7.0
2018.0,"文体","宝安区","公务员",11.0
2018.0,"文体","大鹏新区","公务员",9.0
2018.0,"文体","福田区","公务员",21.0
2018.0,"文体","光明区","公务员",9.0
2018.0,"文体","龙岗区","公务员",29.0
2018.0,"文体","龙华区","公务员",3.0
2018.0,"文体","罗湖区","公务员",21.0
2018.0,"文体","南山区","公务员",21.0
2018.0,"文体","坪山区","公务员",2.0
2018.0,"烟草","大鹏新区","公务员",4.0
2018.0,"医疗","宝安区","公务员",7.0
2018.0,"医疗","大鹏新区","公务员",3.0
2018.0,"医疗","福田区","公务员",3.0
2018.0,"医疗","光明区","公务员",2.0
2018.0,"医疗","龙岗区","公务员",8.0
2018.0,"医疗","龙华区","公务员",7.0
2018.0,"医疗","罗湖区","公务员",4.0
2018.0,"医疗","南山区","公务员",4.0
2018.0,"医疗","坪山区","公务员",2.0
2018.0,"医疗","盐田区","公务员",1.0
2018.0,"应急","宝安区","公务员",30.0
2018.0,"应急","大鹏新区","公务员",16.0
2018.0,"应急","福田区","公务员",22.0
2018.0,"应急","光明区","公务员",22.0
2018.0,"应急","龙岗区","公务员",79.0
2018.0,"应急","龙华区","公务员",33.0
2018.0,"应急","罗湖区","公务员",43.0
2018.0,"应急","南山区","公务员",36.0
2018.0,"应急","坪山区","公务员",28.0
2018.0,"应急","盐田区","公务员",14.0
